"STA_LIBELLE";"STA_LIBELLE";"PRO_LIBELLE_PRODUIT";"PRO_REFERENCE";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Auxey-Duresses premier cru Les Bréterins rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Auxey-Duresses premier cru Les Duresses blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Auxey-Duresses premier cru Les Duresses rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Auxey-Duresses premier cru Les Ecussaux blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Auxey-Duresses premier cru Les Ecussaux rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Auxey-Duresses premier cru Les Grands Champs blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Auxey-Duresses premier cru Les Grands Champs rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Auxey-Duresses premier cru Reugne blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Auxey-Duresses premier cru Reugne rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Auxey-Duresses premier cru rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Auxey-Duresses rouge ou Auxey-Duresses Côte de Beaune";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bâtard-Montrachet";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru A l'Ecu blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru A l'Ecu rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Aux Coucherias blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Aux Coucherias rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Aux Cras blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Aux Cras rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Belissand blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Belissand rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Blanches Fleurs blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Blanches Fleurs rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Champs Pimont blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Champs Pimont rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos de l'Ecu blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos de l'Ecu rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos de la Feguine blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos de la Feguine rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos de la Mousse blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos de la Mousse rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos des Avaux blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos des Avaux rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos des Ursules blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos des Ursules rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos du Roi blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos du Roi rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos Saint-Landry blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Clos Saint-Landry rouge";"";
